material_code,description,material_type,base_unit,standard_price,currency,hs_code,eccn,fefta_judgment,country_of_origin,weight_kg,last_compliance_check_at,is_active,created_at,updated_at
PKG-CERAMIC,セラミックパッケージ材料,ROH,PC,450.00,JPY,8533.00.00,,UNKNOWN,JP,,,True,2026-06-07T02:07:15.047135,2026-06-07T02:07:15.047136
ADH-EPOXY-01,導電性エポキシ接着剤,ROH,G,220.00,JPY,3506.10.00,,UNKNOWN,JP,,,True,2026-06-07T02:07:15.047337,2026-06-07T02:07:15.047338
MAT-R0001,IPA Electronic Grade 99.9% (Isopropyl Alcohol),ROH,L,180.00,JPY,2905.12,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.328399,2026-07-18T22:56:11.328401
MAT-R0002,NMP N-Methyl-2-pyrrolidone Semiconductor Grade,ROH,KG,850.00,JPY,2933.99,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.329719,2026-07-18T22:56:11.329720
MAT-R0003,Hydrogen Fluoride HF 49% Electronic Grade,ROH,KG,2200.00,JPY,2811.11,1C350,UNKNOWN,JP,,,True,2026-07-18T22:56:11.330007,2026-07-18T22:56:11.330008
MAT-R0004,Sulfuric Acid H2SO4 98% Ultra-Pure,ROH,KG,120.00,JPY,2807.00,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.330267,2026-07-18T22:56:11.330267
MAT-R0005,Trimethylaluminum TMAl ALD Precursor (US origin),ROH,KG,180000.00,JPY,2931.90,1C351,UNKNOWN,US,,,True,2026-07-18T22:56:11.330518,2026-07-18T22:56:11.330518
MAT-R0006,Ammonia NH3 Semiconductor Grade 6N,ROH,KG,600.00,JPY,2814.10,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.330764,2026-07-18T22:56:11.330765
MAT-R0007,Titanium Tetrachloride TiCl4 Semiconductor Grade,ROH,KG,15000.00,JPY,2827.39,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.331008,2026-07-18T22:56:11.331009
MAT-R0008,TEOS Tetraethyl Orthosilicate CVD Grade (DE origin),ROH,KG,8500.00,JPY,2931.90,EAR99,UNKNOWN,DE,,,True,2026-07-18T22:56:11.331269,2026-07-18T22:56:11.331269
MAT-R0009,Diborane B2H6 Dopant Gas 1% in H2,ROH,KG,95000.00,JPY,2850.00,1C350,UNKNOWN,US,,,True,2026-07-18T22:56:11.331511,2026-07-18T22:56:11.331511
MAT-R0010,Phosphine PH3 Dopant Gas 1% in H2,ROH,KG,85000.00,JPY,2853.90,1C350,UNKNOWN,JP,,,True,2026-07-18T22:56:11.331753,2026-07-18T22:56:11.331754
MAT-R0011,"Specialty Solvent SPE-RU01 (Russian origin, Khimtek)",ROH,KG,1200.00,JPY,2901.10,EAR99,UNKNOWN,RU,,,True,2026-07-18T22:56:11.331993,2026-07-18T22:56:11.331993
MAT-I0001,"ArF Photoresist Base Polymer (US origin, Dow)",HALB,KG,450000.00,JPY,3907.99,3E001,UNKNOWN,US,,,True,2026-07-18T22:56:11.332249,2026-07-18T22:56:11.332250
MAT-I0002,EUV CAR Resist Base Polymer (US/JP origin),HALB,KG,1200000.00,JPY,3907.99,3B001,UNKNOWN,US,,,True,2026-07-18T22:56:11.332497,2026-07-18T22:56:11.332498
MAT-I0003,BARC Anti-Reflective Coating Base Formulation,HALB,KG,95000.00,JPY,3824.99,EAR99,UNKNOWN,US,,,True,2026-07-18T22:56:11.332749,2026-07-18T22:56:11.332750
MAT-I0004,CMP Slurry Concentrate Base (Al2O3 abrasive),HALB,KG,8500.00,JPY,3824.99,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.333015,2026-07-18T22:56:11.333016
MAT-I0005,Developer TMAH 2.38% Electronic Grade,HALB,L,950.00,JPY,2923.90,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.333258,2026-07-18T22:56:11.333259
MAT-I0006,"Chemical Pump Assembly (DE origin, Linde subsystem)",HALB,PC,1800000.00,JPY,8413.81,EAR99,UNKNOWN,DE,,,True,2026-07-18T22:56:11.333496,2026-07-18T22:56:11.333496
MAT-I0007,Chemical Process Control PCB Assembly (JP origin),HALB,PC,350000.00,JPY,8537.10,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.333752,2026-07-18T22:56:11.333752
MAT-I0008,Fluoropolymer PFA Tubing Assembly 1/4inch,HALB,M,12000.00,JPY,3917.29,EAR99,UNKNOWN,US,,,True,2026-07-18T22:56:11.333998,2026-07-18T22:56:11.333999
MAT-F0001,EUV Photoresist EUV-RS100 13.5nm (High-End),FERT,L,2800000.00,JPY,3707.90,3B001,UNKNOWN,JP,,,True,2026-07-18T22:56:11.334235,2026-07-18T22:56:11.334236
MAT-F0002,CMP Slurry for STI Premium NSC-STI45,FERT,KG,8200.00,JPY,3824.99,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.334476,2026-07-18T22:56:11.334477
MAT-F0003,Spin-on-Carbon Hard Mask SOC-200 (193nm patterning),FERT,L,180000.00,JPY,3707.90,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.334734,2026-07-18T22:56:11.334735
MAT-F0004,TEOS PECVD Precursor Solution (high-purity blend),FERT,KG,45000.00,JPY,2931.90,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.334982,2026-07-18T22:56:11.334982
MAT-F0005,Buffered HF Etch Solution 50:1 BOE-50,FERT,L,18000.00,JPY,2811.19,1C350,UNKNOWN,JP,,,True,2026-07-18T22:56:11.335218,2026-07-18T22:56:11.335219
MAT-F0006,W-CMP Slurry Advanced H2O2-free NSC-WSL55,FERT,KG,14500.00,JPY,3824.99,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.335457,2026-07-18T22:56:11.335457
MAT-F0007,Spin-on-Glass SOG Dielectric NSC-SOG30,FERT,L,95000.00,JPY,3707.90,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.335713,2026-07-18T22:56:11.335713
MAT-F0008,Photoresist Stripping Solution NMP-Free NSC-STR02,FERT,L,12000.00,JPY,3824.99,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.335960,2026-07-18T22:56:11.335960
MAT-F0009,Cleaning Chemical Kit SC-2 Formulation,FERT,L,9500.00,JPY,3824.99,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.336208,2026-07-18T22:56:11.336209
MAT-F0010,Copper Interconnect CMP Slurry NSC-CuP22,FERT,KG,16000.00,JPY,3824.99,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.336459,2026-07-18T22:56:11.336459
MAT-E0001,Chemical Delivery System CDS-500 (Point-of-Use),FERT,PC,45000000.00,JPY,8419.89,3B001,UNKNOWN,JP,,,True,2026-07-18T22:56:11.336704,2026-07-18T22:56:11.336705
MAT-E0002,Chemical Blending Unit CBU-200 (PFA wetted),FERT,PC,12000000.00,JPY,8419.89,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.336955,2026-07-18T22:56:11.336955
MAT-E0003,CMP Tool NSC-CMP-Pro100 (300mm wafer process),FERT,PC,850000000.00,JPY,8486.20,3B001,UNKNOWN,JP,,,True,2026-07-18T22:56:11.337203,2026-07-18T22:56:11.337204
MAT-E0004,Wafer Surface Cleaning System WCS-200 (SC-1/SC-2),FERT,PC,350000000.00,JPY,8486.20,3B001,UNKNOWN,JP,,,True,2026-07-18T22:56:11.337452,2026-07-18T22:56:11.337453
MAT-P0001,"Fluoropolymer O-Ring Set (FKM/FFKM, cleanroom)",HAWA,SET,45000.00,JPY,4016.93,EAR99,UNKNOWN,US,,,True,2026-07-18T22:56:11.337699,2026-07-18T22:56:11.337699
MAT-P0002,High-Purity Filter Cartridge 0.05μm PTFE,HAWA,PC,85000.00,JPY,8421.29,EAR99,UNKNOWN,US,,,True,2026-07-18T22:56:11.337950,2026-07-18T22:56:11.337950
MAT-P0003,Mass Flow Controller MFC for Chemical Gas,HAWA,PC,280000.00,JPY,9026.20,EAR99,UNKNOWN,US,,,True,2026-07-18T22:56:11.338197,2026-07-18T22:56:11.338197
MAT-P0004,"PTFE / PFA Fittings Set (1/4, 3/8, 1/2 inch)",HAWA,SET,18000.00,JPY,3917.33,EAR99,UNKNOWN,US,,,True,2026-07-18T22:56:11.338452,2026-07-18T22:56:11.338453
MAT-P0005,Chemical Drum Liner HDPE 200L Cleanroom Grade,HAWA,PC,3500.00,JPY,3923.10,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.338706,2026-07-18T22:56:11.338707
MAT-M0001,CMP Polishing Pad Conditioner Disc (Diamond),HALB,PC,450000.00,JPY,6804.23,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.338964,2026-07-18T22:56:11.338964
MAT-M0002,Chemical Distribution Manifold PFA Welded,HALB,PC,320000.00,JPY,3917.39,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.339219,2026-07-18T22:56:11.339219
MAT-M0003,Automated Chemical Dosing Module (PLC-controlled),HALB,PC,1200000.00,JPY,8537.10,EAR99,UNKNOWN,JP,,,True,2026-07-18T22:56:11.339472,2026-07-18T22:56:11.339473
